student_number,ansession,program,term,semester,state,count
02495CCC18758D1C6DF1D4BBDE74940A99C0E5E4C277609F5913FEF1D4B80317,20141,Pure,2,Winter,Winter-Pure-2,2
02495CCC18758D1C6DF1D4BBDE74940A99C0E5E4C277609F5913FEF1D4B80317,20143,Pure,3,Fall,Fall-Pure-3,3
02495CCC18758D1C6DF1D4BBDE74940A99C0E5E4C277609F5913FEF1D4B80317,20151,Pure,4,Winter,Winter-Pure-4,4
02495CCC18758D1C6DF1D4BBDE74940A99C0E5E4C277609F5913FEF1D4B80317,20151,200B0,5,Winter,Graduated,5
02603A596D8A795D88425AD4C55136F9F53CECCC58C8937F9C0B1F53A0F8FAC5,20103,Pure,1,Fall,Fall-Pure-1,1
02603A596D8A795D88425AD4C55136F9F53CECCC58C8937F9C0B1F53A0F8FAC5,20111,Pure,2,Winter,Winter-Pure-2,2
02603A596D8A795D88425AD4C55136F9F53CECCC58C8937F9C0B1F53A0F8FAC5,20111,200B0,3,Winter,Graduated,3
026BF955145F49B7D4D7C57D3612FCF82561B1A28FE363C0E3907754136AF0FF,20103,Pure,1,Fall,Fall-Pure-1,1
026BF955145F49B7D4D7C57D3612FCF82561B1A28FE363C0E3907754136AF0FF,20111,Pure,2,Winter,Winter-Pure-2,2
026BF955145F49B7D4D7C57D3612FCF82561B1A28FE363C0E3907754136AF0FF,20113,Pure,3,Fall,Fall-Pure-3,3
026BF955145F49B7D4D7C57D3612FCF82561B1A28FE363C0E3907754136AF0FF,20121,Pure,4,Winter,Winter-Pure-4,4
026BF955145F49B7D4D7C57D3612FCF82561B1A28FE363C0E3907754136AF0FF,20131,200B0,5,Winter,Graduated,5
027BAC50244C8489F60B33E0442AE8349ECDC93A0BF395C51F211E27E6B587A8,20113,Health,1,Fall,Fall-Health-1,1
027BAC50244C8489F60B33E0442AE8349ECDC93A0BF395C51F211E27E6B587A8,20121,Health,2,Winter,Winter-Health-2,2
027BAC50244C8489F60B33E0442AE8349ECDC93A0BF395C51F211E27E6B587A8,20123,Health,3,Fall,Fall-Health-3,3
027BAC50244C8489F60B33E0442AE8349ECDC93A0BF395C51F211E27E6B587A8,20131,Health,4,Winter,Winter-Health-4,4
027BAC50244C8489F60B33E0442AE8349ECDC93A0BF395C51F211E27E6B587A8,20133,Health,5,Fall,Fall-Health-5,5
027BAC50244C8489F60B33E0442AE8349ECDC93A0BF395C51F211E27E6B587A8,20141,Health,6,Winter,Winter-Health-6,6
027BAC50244C8489F60B33E0442AE8349ECDC93A0BF395C51F211E27E6B587A8,20141,200B0,7,Winter,Graduated,7
0289929568F05BD115ED7BF5362F1469B67C04F5D3513FE3C9536B696C25704F,20103,Pure,1,Fall,Fall-Pure-1,1
0289929568F05BD115ED7BF5362F1469B67C04F5D3513FE3C9536B696C25704F,20111,Pure,2,Winter,Winter-Pure-2,2
0289929568F05BD115ED7BF5362F1469B67C04F5D3513FE3C9536B696C25704F,20111,Pure,2,Winter,Out,3
02AFDA56921AB0C20A14E28BF7469E9533109B6C365930143AB215C630E472E6,20161,Pure,1,Winter,Winter-Pure-1,1
02AFDA56921AB0C20A14E28BF7469E9533109B6C365930143AB215C630E472E6,20163,Health,2,Fall,Fall-Health-2,2
02B7E354C7456A95736B5DC28A95EA384B017CE3A871F6A5B433936B420D2BDA,20143,Health,1,Fall,Fall-Health-1,1
02B7E354C7456A95736B5DC28A95EA384B017CE3A871F6A5B433936B420D2BDA,20151,Health,2,Winter,Winter-Health-2,2
02B7E354C7456A95736B5DC28A95EA384B017CE3A871F6A5B433936B420D2BDA,20153,Health,3,Fall,Fall-Health-3,3
02B7E354C7456A95736B5DC28A95EA384B017CE3A871F6A5B433936B420D2BDA,20161,Health,4,Winter,Winter-Health-4,4
02B7E354C7456A95736B5DC28A95EA384B017CE3A871F6A5B433936B420D2BDA,20161,200B0,5,Winter,Graduated,5
02B93C86E28E944CF36D289B87119A39A245C7BA4F91F9B272F110704D2269D4,20153,Pure,1,Fall,Fall-Pure-1,1
02B93C86E28E944CF36D289B87119A39A245C7BA4F91F9B272F110704D2269D4,20161,Pure,2,Winter,Winter-Pure-2,2
02B93C86E28E944CF36D289B87119A39A245C7BA4F91F9B272F110704D2269D4,20163,Pure,3,Fall,Fall-Pure-3,3
02BA41AB356AA1559C63290D23770C6626BC46EB2889EC95B5E8FE33FEBF4D69,20123,Pure,1,Fall,Fall-Pure-1,1
02BA41AB356AA1559C63290D23770C6626BC46EB2889EC95B5E8FE33FEBF4D69,20131,Pure,2,Winter,Winter-Pure-2,2
02BA41AB356AA1559C63290D23770C6626BC46EB2889EC95B5E8FE33FEBF4D69,20133,Pure,3,Fall,Fall-Pure-3,3
02BA41AB356AA1559C63290D23770C6626BC46EB2889EC95B5E8FE33FEBF4D69,20141,Pure,4,Winter,Winter-Pure-4,4
02BA41AB356AA1559C63290D23770C6626BC46EB2889EC95B5E8FE33FEBF4D69,20141,200B0,5,Winter,Graduated,5
02BFA9AAC4655FED00214D3867BCA8750A72148E83FACCC6B370E4C041D93AEC,20153,DSP,1,Fall,Fall-DSP-1,1
02BFA9AAC4655FED00214D3867BCA8750A72148E83FACCC6B370E4C041D93AEC,20161,DSP,2,Winter,Winter-DSP-2,2
02BFA9AAC4655FED00214D3867BCA8750A72148E83FACCC6B370E4C041D93AEC,20161,DSP,2,Winter,Out,3
02C0384ACF6C72BD4B5C9524ECF94D2AB730D5BEDB2F776EDD9B06D859B947D6,20163,ESP,1,Fall,Fall-ESP-1,1
02C78BA686D19B2B06D403C7DB678FDDC5BA951B175F1E7B72737763832E3D9B,20123,Pure,1,Fall,Fall-Pure-1,1
02C78BA686D19B2B06D403C7DB678FDDC5BA951B175F1E7B72737763832E3D9B,20131,Pure,2,Winter,Winter-Pure-2,2
02C78BA686D19B2B06D403C7DB678FDDC5BA951B175F1E7B72737763832E3D9B,20133,Pure,3,Fall,Fall-Pure-3,3
02C78BA686D19B2B06D403C7DB678FDDC5BA951B175F1E7B72737763832E3D9B,20141,Pure,4,Winter,Winter-Pure-4,4
02C78BA686D19B2B06D403C7DB678FDDC5BA951B175F1E7B72737763832E3D9B,20141,200B0,5,Winter,Graduated,5
02DA3DDC7D0CC1EE5C0DB7C846D060C574BBA19FE46B8F66146C3612B8D971CD,20153,Health,1,Fall,Fall-Health-1,1
02DA3DDC7D0CC1EE5C0DB7C846D060C574BBA19FE46B8F66146C3612B8D971CD,20161,Health,2,Winter,Winter-Health-2,2
02DA3DDC7D0CC1EE5C0DB7C846D060C574BBA19FE46B8F66146C3612B8D971CD,20163,Health,3,Fall,Fall-Health-3,3
02E3ECB71295D208C3878047B908C4D104205DBA608B1E86672E4752835C0D5A,20103,Health,1,Fall,Fall-Health-1,1
02E3ECB71295D208C3878047B908C4D104205DBA608B1E86672E4752835C0D5A,20111,Health,2,Winter,Winter-Health-2,2
02E3ECB71295D208C3878047B908C4D104205DBA608B1E86672E4752835C0D5A,20111,200B0,3,Winter,Graduated,3
02ECF6ADD91C8B95AB6589034EFAEB38C496FF50707FCB987B3107F388F19ED7,20103,Pure,1,Fall,Fall-Pure-1,1
